api,label,path
fund_div,基金分红,公募基金/基金分红
fund_portfolio,基金持仓,公募基金/基金持仓
fund_factor_pro,基金技术面因子(专业版),公募基金/基金技术面因子(专业版)
trade_cal,交易日历,期货数据/交易日历
fut_daily,日线行情,期货数据/日线行情
fut_weekly_monthly,期货周/月线行情(每日更新),期货数据/期货周/月线行情(每日更新)
ft_mins,历史分钟行情,期货数据/历史分钟行情
fut_wsr,仓单日报,期货数据/仓单日报
fut_settle,每日结算参数,期货数据/每日结算参数
fut_holding,每日持仓排名,期货数据/每日持仓排名
index_daily,南华期货指数行情,期货数据/南华期货指数行情
fut_mapping,期货主力与连续合约,期货数据/期货主力与连续合约
fut_weekly_detail,期货主要品种交易周报,期货数据/期货主要品种交易周报
ft_limit,期货合约涨跌停价格,期货数据/期货合约涨跌停价格
sge_basic,上海黄金基础信息,现货数据/上海黄金基础信息
sge_daily,上海黄金现货日行情,现货数据/上海黄金现货日行情
opt_daily,期权日线行情,期权数据/期权日线行情
opt_mins,期权分钟行情,期权数据/期权分钟行情
cb_basic,可转债基础信息,债券专题/可转债基础信息
cb_issue,可转债发行,债券专题/可转债发行
cb_call,可转债赎回信息,债券专题/可转债赎回信息
cb_rate,可转债票面利率,债券专题/可转债票面利率
cb_daily,可转债行情,债券专题/可转债行情
cb_factor_pro,可转债技术面因子(专业版）,债券专题/可转债技术面因子(专业版）
cb_price_chg,可转债转股价变动,债券专题/可转债转股价变动
cb_share,可转债转股结果,债券专题/可转债转股结果
repo_daily,债券回购日行情,债券专题/债券回购日行情
bc_otcqt,柜台流通式债券报价,债券专题/柜台流通式债券报价
bc_bestotcqt,柜台流通式债券最优报价,债券专题/柜台流通式债券最优报价
bond_blk,大宗交易,债券专题/大宗交易
bond_blk_detail,大宗交易明细,债券专题/大宗交易明细
yc_cb,国债收益率曲线,债券专题/国债收益率曲线
eco_cal,全球财经事件,债券专题/全球财经事件
fx_obasic,外汇基础信息（海外）,外汇数据/外汇基础信息（海外）
fx_daily,外汇日线行情,外汇数据/外汇日线行情
hk_basic,港股基础信息,港股数据/港股基础信息
hk_tradecal,港股交易日历,港股数据/港股交易日历
hk_daily,港股日线行情,港股数据/港股日线行情
hk_daily_adj,港股复权行情,港股数据/港股复权行情
hk_adjfactor,港股复权因子,港股数据/港股复权因子
